Session number,Laser power (mW),Fluorescence Intensity (A.U.),FWHMx (um),FWHMz (um)
1,4,7.82683333333333,1.58892953022214,3.87174592540204
1,4,7.85366666666667,1.5893106042962,3.83276660493252
1,4,7.855,1.55674849948538,3.8338409684009
1,5,11.8219047619048,1.61121669876599,3.94614381505157
1,5,11.8304761904762,1.6216145225489,3.93424865089861
1,5,11.8302380952381,1.61799792812251,3.87291671689305
1,6,17.2814814814815,1.59880187923823,3.84261903211317
1,6,17.0433333333333,1.60502285132959,3.96941217799733
1,6,17.3277777777778,1.5894932916663,3.90142112023067
1,7,23.565,1.58335868066735,3.81891308268379
1,7,23.3775,1.59093569738504,3.83958044411992
1,7,23.6335,1.59184644017821,3.78559833263737
1,8,30.21,1.60325717946294,3.90017471693586
1,8,30.776875,1.57380432506614,3.83930856036001
1,8,30.294375,1.60829369822157,4.04881895868349
1,9,37.8442857142857,1.57152601988712,3.97103455835315
1,9,38.49,1.57211942753019,3.93080071159933
1,9,38.5685714285714,1.58340579306007,3.81056130086097
1,10,45.865,1.61010980033292,3.98022488200773
1,10,45.5433333333333,1.60633620709667,4.04874804204299
1,10,46.2916666666667,1.56709980946539,4.00784646695644
