Session number,Laser power (mW),Fluorescence Intensity (A.U.),FWHMx (um),FWHMz (um)
1,4,6.2864,1.39594838764672,3.7223855297478
1,4,6.1932,1.42498101153297,3.80035175284777
1,4,6.244,1.38635029573798,3.68759299057697
1,5,9.83166666666667,1.42547171381581,3.657192225034
1,5,9.81145833333333,1.42409570458252,3.74893213472549
1,5,9.75541666666667,1.42849643493071,3.72279429530628
1,6,14.493125,1.37770712998154,3.72254319530123
1,6,14.2159375,1.41291853219631,3.72477576786107
1,6,14.460625,1.37561281416412,3.69603409949696
1,7,19.39,1.40851066598092,3.74069283855053
1,7,19.4991666666667,1.39464692714416,3.71295201506536
1,7,19.4458333333333,1.40320070517006,3.74558425217626
1,8,24.7633333333333,1.36844668710046,3.7458304919546
1,8,24.6938888888889,1.39890838519323,3.66924549463114
1,8,24.6961111111111,1.40340621303204,3.66752772559166
1,9,30.8953846153846,1.39196964172898,3.73923126863573
1,9,31.1123076923077,1.39467994794213,3.72638864648711
1,9,31.0146153846154,1.42090708617717,3.65736545507868
1,10,37.8118181818182,1.38585462392101,3.77567493181331
1,10,37.5845454545455,1.40615948172824,3.75826152394336
1,10,37.7009090909091,1.39673006332637,3.72711209342264
2,4,6.35453333333333,1.51360537628216,3.95603063264589
2,4,6.2408,1.53233496881209,3.93904443511517
2,4,6.22226666666667,1.4955042623057,4.00622832372431
2,5,9.803125,1.52944016834957,4.0167507138262
2,5,9.91020833333333,1.51452473798791,3.87914674156156
2,5,9.83,1.52352166554844,3.99265180226149
2,6,14.243125,1.51363515646352,3.96746292587807
2,6,14.24375,1.51832866365976,3.93740830095884
2,6,14.1628125,1.52148119895917,4.01448723384523
2,7,19.2829166666667,1.52150248774789,3.96427045161275
2,7,19.4429166666667,1.50932172232669,3.96659317135583
2,7,19.39,1.52044027917783,3.97546457716527
2,8,25.2338888888889,1.50755473046673,3.8327705044971
2,8,24.9472222222222,1.52056848363813,3.88551135396711
2,8,24.735,1.49981985467447,3.9322899924536
2,9,31.8030769230769,1.50531571530911,4.02887290029971
2,9,31.8046153846154,1.52286972099647,3.89983693773576
2,9,31.3123076923077,1.50509730541036,3.99470320779425
2,10,38.5318181818182,1.49324157291826,3.98543344433161
2,10,39.2290909090909,1.48852307603844,3.90040769986289
2,10,38.4109090909091,1.52797400540724,3.98098913696043
